Arresting Agency,Criminality,Area of Responsibility (AOR),Country of Citizenship,Fiscal Year,Fiscal Quarter,Fiscal Month,Month-Year,Removals
CBP,Criminal Conviction,Atlanta,EL SALVADOR,2024,2,4,Jan-24,10
CBP,Criminal Conviction,Atlanta,GUATEMALA,2021,1,1,Oct-20,25
CBP,Criminal Conviction,Atlanta,GUATEMALA,2021,1,2,Nov-20,18
CBP,Criminal Conviction,Atlanta,GUATEMALA,2023,1,2,Nov-22,13
CBP,Criminal Conviction,Atlanta,GUATEMALA,2023,2,4,Jan-23,10
CBP,Criminal Conviction,Atlanta,GUATEMALA,2023,2,5,Feb-23,12
CBP,Criminal Conviction,Atlanta,GUATEMALA,2023,4,11,Aug-23,12
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,1,1,Oct-23,10
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,1,2,Nov-23,11
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,2,4,Jan-24,10
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,2,5,Feb-24,11
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,3,7,Apr-24,16
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,3,8,May-24,30
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,3,9,Jun-24,17
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,4,10,Jul-24,18
CBP,Criminal Conviction,Atlanta,HONDURAS,2021,1,1,Oct-20,17
CBP,Criminal Conviction,Atlanta,HONDURAS,2021,2,4,Jan-21,20
CBP,Criminal Conviction,Atlanta,HONDURAS,2021,3,8,May-21,10
CBP,Criminal Conviction,Atlanta,HONDURAS,2022,3,9,Jun-22,13
CBP,Criminal Conviction,Atlanta,HONDURAS,2022,4,11,Aug-22,14
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,1,1,Oct-22,17
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,1,2,Nov-22,17
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,1,3,Dec-22,13
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,2,4,Jan-23,16
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,2,6,Mar-23,14
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,3,8,May-23,20
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,3,9,Jun-23,17
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,4,11,Aug-23,22
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,4,12,Sep-23,13
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,1,1,Oct-23,17
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,1,2,Nov-23,18
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,1,3,Dec-23,18
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,2,4,Jan-24,16
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,2,5,Feb-24,18
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,2,6,Mar-24,10
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,3,8,May-24,23
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,3,9,Jun-24,20
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,4,10,Jul-24,11
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,4,11,Aug-24,16
CBP,Criminal Conviction,Atlanta,MEXICO,2021,1,1,Oct-20,27
CBP,Criminal Conviction,Atlanta,MEXICO,2021,1,2,Nov-20,13
CBP,Criminal Conviction,Atlanta,MEXICO,2021,1,3,Dec-20,13
CBP,Criminal Conviction,Atlanta,MEXICO,2021,2,4,Jan-21,10
CBP,Criminal Conviction,Atlanta,MEXICO,2021,3,7,Apr-21,13
CBP,Criminal Conviction,Atlanta,MEXICO,2021,3,9,Jun-21,11
CBP,Criminal Conviction,Atlanta,MEXICO,2021,4,10,Jul-21,10
CBP,Criminal Conviction,Atlanta,MEXICO,2021,4,11,Aug-21,11
CBP,Criminal Conviction,Atlanta,MEXICO,2021,4,12,Sep-21,10
CBP,Criminal Conviction,Atlanta,MEXICO,2022,1,2,Nov-21,11
CBP,Criminal Conviction,Atlanta,MEXICO,2022,2,5,Feb-22,17
CBP,Criminal Conviction,Atlanta,MEXICO,2022,2,6,Mar-22,13
CBP,Criminal Conviction,Atlanta,MEXICO,2022,3,7,Apr-22,14
CBP,Criminal Conviction,Atlanta,MEXICO,2022,3,8,May-22,14
CBP,Criminal Conviction,Atlanta,MEXICO,2022,3,9,Jun-22,17
CBP,Criminal Conviction,Atlanta,MEXICO,2022,4,10,Jul-22,23
CBP,Criminal Conviction,Atlanta,MEXICO,2022,4,11,Aug-22,28
CBP,Criminal Conviction,Atlanta,MEXICO,2022,4,12,Sep-22,37
CBP,Criminal Conviction,Atlanta,MEXICO,2023,1,1,Oct-22,59
CBP,Criminal Conviction,Atlanta,MEXICO,2023,1,2,Nov-22,31
CBP,Criminal Conviction,Atlanta,MEXICO,2023,1,3,Dec-22,18
CBP,Criminal Conviction,Atlanta,MEXICO,2023,2,4,Jan-23,13
CBP,Criminal Conviction,Atlanta,MEXICO,2023,2,5,Feb-23,11
CBP,Criminal Conviction,Atlanta,MEXICO,2023,2,6,Mar-23,23
CBP,Criminal Conviction,Atlanta,MEXICO,2023,3,8,May-23,14
CBP,Criminal Conviction,Atlanta,MEXICO,2023,3,9,Jun-23,10
CBP,Criminal Conviction,Atlanta,MEXICO,2023,4,10,Jul-23,16
CBP,Criminal Conviction,Atlanta,MEXICO,2023,4,11,Aug-23,28
CBP,Criminal Conviction,Atlanta,MEXICO,2023,4,12,Sep-23,12
CBP,Criminal Conviction,Atlanta,MEXICO,2024,1,1,Oct-23,24
CBP,Criminal Conviction,Atlanta,MEXICO,2024,1,2,Nov-23,10
CBP,Criminal Conviction,Atlanta,MEXICO,2024,1,3,Dec-23,18
CBP,Criminal Conviction,Atlanta,MEXICO,2024,2,4,Jan-24,17
CBP,Criminal Conviction,Atlanta,MEXICO,2024,2,5,Feb-24,23
CBP,Criminal Conviction,Atlanta,MEXICO,2024,2,6,Mar-24,15
CBP,Criminal Conviction,Atlanta,MEXICO,2024,3,7,Apr-24,14
CBP,Criminal Conviction,Atlanta,MEXICO,2024,3,8,May-24,16
CBP,Criminal Conviction,Atlanta,MEXICO,2024,3,9,Jun-24,15
CBP,Criminal Conviction,Atlanta,MEXICO,2024,4,10,Jul-24,13
CBP,Criminal Conviction,Atlanta,MEXICO,2024,4,11,Aug-24,15
CBP,Criminal Conviction,Atlanta,MEXICO,2025,1,1,Oct-24,10
CBP,Criminal Conviction,Atlanta,MEXICO,2025,1,2,Nov-24,10
CBP,Criminal Conviction,Atlanta,MEXICO,2025,1,3,Dec-24,11
CBP,Criminal Conviction,Boston,MEXICO,2024,1,2,Nov-23,11
CBP,Criminal Conviction,Buffalo,MEXICO,2023,4,12,Sep-23,13
CBP,Criminal Conviction,Buffalo,MEXICO,2024,1,1,Oct-23,12
CBP,Criminal Conviction,Buffalo,MEXICO,2024,2,4,Jan-24,16
CBP,Criminal Conviction,Buffalo,MEXICO,2024,2,5,Feb-24,22
CBP,Criminal Conviction,Buffalo,MEXICO,2024,2,6,Mar-24,21
CBP,Criminal Conviction,Chicago,GUATEMALA,2021,1,1,Oct-20,19
CBP,Criminal Conviction,Chicago,GUATEMALA,2023,4,11,Aug-23,11
CBP,Criminal Conviction,Chicago,GUATEMALA,2024,1,2,Nov-23,10
CBP,Criminal Conviction,Chicago,GUATEMALA,2024,1,3,Dec-23,11
CBP,Criminal Conviction,Chicago,GUATEMALA,2024,2,4,Jan-24,10
CBP,Criminal Conviction,Chicago,GUATEMALA,2024,2,5,Feb-24,13
CBP,Criminal Conviction,Chicago,GUATEMALA,2024,2,6,Mar-24,10
CBP,Criminal Conviction,Chicago,GUATEMALA,2024,3,7,Apr-24,17
CBP,Criminal Conviction,Chicago,GUATEMALA,2024,4,10,Jul-24,10
CBP,Criminal Conviction,Chicago,GUATEMALA,2024,4,11,Aug-24,12
CBP,Criminal Conviction,Chicago,GUATEMALA,2024,4,12,Sep-24,14
CBP,Criminal Conviction,Chicago,HONDURAS,2024,1,1,Oct-23,10
CBP,Criminal Conviction,Chicago,HONDURAS,2024,4,10,Jul-24,11
CBP,Criminal Conviction,Chicago,MEXICO,2021,4,10,Jul-21,13
CBP,Criminal Conviction,Chicago,MEXICO,2022,2,6,Mar-22,10
CBP,Criminal Conviction,Chicago,MEXICO,2023,4,10,Jul-23,10
CBP,Criminal Conviction,Chicago,MEXICO,2023,4,11,Aug-23,13
CBP,Criminal Conviction,Chicago,MEXICO,2024,1,1,Oct-23,11
CBP,Criminal Conviction,Chicago,MEXICO,2024,1,2,Nov-23,14
CBP,Criminal Conviction,Chicago,MEXICO,2024,1,3,Dec-23,17
CBP,Criminal Conviction,Chicago,MEXICO,2024,2,4,Jan-24,12
CBP,Criminal Conviction,Chicago,MEXICO,2024,2,5,Feb-24,20
CBP,Criminal Conviction,Chicago,MEXICO,2024,2,6,Mar-24,36
CBP,Criminal Conviction,Chicago,MEXICO,2024,3,7,Apr-24,20
CBP,Criminal Conviction,Chicago,MEXICO,2024,3,8,May-24,15
CBP,Criminal Conviction,Chicago,MEXICO,2024,3,9,Jun-24,16
CBP,Criminal Conviction,Chicago,MEXICO,2024,4,10,Jul-24,12
CBP,Criminal Conviction,Chicago,MEXICO,2024,4,11,Aug-24,12
CBP,Criminal Conviction,Chicago,MEXICO,2024,4,12,Sep-24,19
CBP,Criminal Conviction,Chicago,MEXICO,2025,1,1,Oct-24,30
CBP,Criminal Conviction,Chicago,MEXICO,2025,1,2,Nov-24,15
CBP,Criminal Conviction,Chicago,MEXICO,2025,1,3,Dec-24,12
CBP,Criminal Conviction,Dallas,EL SALVADOR,2021,1,3,Dec-20,17
CBP,Criminal Conviction,Dallas,EL SALVADOR,2021,2,4,Jan-21,12
CBP,Criminal Conviction,Dallas,EL SALVADOR,2021,3,9,Jun-21,13
CBP,Criminal Conviction,Dallas,EL SALVADOR,2022,1,2,Nov-21,10
CBP,Criminal Conviction,Dallas,EL SALVADOR,2022,4,12,Sep-22,11
CBP,Criminal Conviction,Dallas,EL SALVADOR,2023,2,6,Mar-23,11
CBP,Criminal Conviction,Dallas,EL SALVADOR,2023,3,9,Jun-23,15
CBP,Criminal Conviction,Dallas,GUATEMALA,2021,1,1,Oct-20,55
CBP,Criminal Conviction,Dallas,GUATEMALA,2021,1,2,Nov-20,10
CBP,Criminal Conviction,Dallas,GUATEMALA,2021,2,4,Jan-21,13
CBP,Criminal Conviction,Dallas,GUATEMALA,2021,2,5,Feb-21,10
CBP,Criminal Conviction,Dallas,GUATEMALA,2022,1,2,Nov-21,11
CBP,Criminal Conviction,Dallas,GUATEMALA,2023,2,6,Mar-23,10
CBP,Criminal Conviction,Dallas,GUATEMALA,2023,3,8,May-23,21
CBP,Criminal Conviction,Dallas,GUATEMALA,2023,4,10,Jul-23,16
CBP,Criminal Conviction,Dallas,GUATEMALA,2023,4,11,Aug-23,23
CBP,Criminal Conviction,Dallas,GUATEMALA,2024,3,9,Jun-24,12
CBP,Criminal Conviction,Dallas,GUATEMALA,2024,4,10,Jul-24,10
CBP,Criminal Conviction,Dallas,GUATEMALA,2024,4,11,Aug-24,16
CBP,Criminal Conviction,Dallas,HONDURAS,2021,1,1,Oct-20,24
CBP,Criminal Conviction,Dallas,HONDURAS,2021,2,4,Jan-21,16
CBP,Criminal Conviction,Dallas,HONDURAS,2021,2,5,Feb-21,15
CBP,Criminal Conviction,Dallas,HONDURAS,2021,2,6,Mar-21,30
CBP,Criminal Conviction,Dallas,HONDURAS,2021,3,7,Apr-21,19
CBP,Criminal Conviction,Dallas,HONDURAS,2021,3,9,Jun-21,17
CBP,Criminal Conviction,Dallas,HONDURAS,2021,4,12,Sep-21,12
CBP,Criminal Conviction,Dallas,HONDURAS,2022,1,1,Oct-21,10
CBP,Criminal Conviction,Dallas,HONDURAS,2022,1,2,Nov-21,18
CBP,Criminal Conviction,Dallas,HONDURAS,2022,1,3,Dec-21,10
CBP,Criminal Conviction,Dallas,HONDURAS,2022,3,7,Apr-22,11
CBP,Criminal Conviction,Dallas,HONDURAS,2022,3,8,May-22,10
CBP,Criminal Conviction,Dallas,HONDURAS,2022,4,12,Sep-22,10
CBP,Criminal Conviction,Dallas,HONDURAS,2023,1,1,Oct-22,20
CBP,Criminal Conviction,Dallas,HONDURAS,2023,2,6,Mar-23,12
CBP,Criminal Conviction,Dallas,HONDURAS,2023,3,7,Apr-23,16
CBP,Criminal Conviction,Dallas,HONDURAS,2023,3,8,May-23,36
CBP,Criminal Conviction,Dallas,HONDURAS,2023,3,9,Jun-23,22
CBP,Criminal Conviction,Dallas,HONDURAS,2023,4,11,Aug-23,31
CBP,Criminal Conviction,Dallas,HONDURAS,2023,4,12,Sep-23,19
CBP,Criminal Conviction,Dallas,HONDURAS,2024,1,1,Oct-23,17
CBP,Criminal Conviction,Dallas,HONDURAS,2024,1,2,Nov-23,13
CBP,Criminal Conviction,Dallas,HONDURAS,2024,1,3,Dec-23,15
CBP,Criminal Conviction,Dallas,HONDURAS,2024,2,4,Jan-24,14
CBP,Criminal Conviction,Dallas,HONDURAS,2024,2,5,Feb-24,16
CBP,Criminal Conviction,Dallas,HONDURAS,2024,2,6,Mar-24,18
CBP,Criminal Conviction,Dallas,HONDURAS,2024,3,7,Apr-24,10
CBP,Criminal Conviction,Dallas,HONDURAS,2024,3,8,May-24,36
CBP,Criminal Conviction,Dallas,HONDURAS,2024,3,9,Jun-24,25
CBP,Criminal Conviction,Dallas,HONDURAS,2024,4,10,Jul-24,15
CBP,Criminal Conviction,Dallas,HONDURAS,2024,4,11,Aug-24,27
CBP,Criminal Conviction,Dallas,HONDURAS,2024,4,12,Sep-24,12
CBP,Criminal Conviction,Dallas,HONDURAS,2025,1,1,Oct-24,12
CBP,Criminal Conviction,Dallas,MEXICO,2021,1,1,Oct-20,129
CBP,Criminal Conviction,Dallas,MEXICO,2021,1,2,Nov-20,114
CBP,Criminal Conviction,Dallas,MEXICO,2021,1,3,Dec-20,102
CBP,Criminal Conviction,Dallas,MEXICO,2021,2,4,Jan-21,91
CBP,Criminal Conviction,Dallas,MEXICO,2021,2,5,Feb-21,42
CBP,Criminal Conviction,Dallas,MEXICO,2021,2,6,Mar-21,59
CBP,Criminal Conviction,Dallas,MEXICO,2021,3,7,Apr-21,59
CBP,Criminal Conviction,Dallas,MEXICO,2021,3,8,May-21,65
CBP,Criminal Conviction,Dallas,MEXICO,2021,3,9,Jun-21,78
CBP,Criminal Conviction,Dallas,MEXICO,2021,4,10,Jul-21,70
CBP,Criminal Conviction,Dallas,MEXICO,2021,4,11,Aug-21,87
CBP,Criminal Conviction,Dallas,MEXICO,2021,4,12,Sep-21,120
CBP,Criminal Conviction,Dallas,MEXICO,2022,1,1,Oct-21,104
CBP,Criminal Conviction,Dallas,MEXICO,2022,1,2,Nov-21,128
CBP,Criminal Conviction,Dallas,MEXICO,2022,1,3,Dec-21,72
CBP,Criminal Conviction,Dallas,MEXICO,2022,2,4,Jan-22,53
CBP,Criminal Conviction,Dallas,MEXICO,2022,2,5,Feb-22,44
CBP,Criminal Conviction,Dallas,MEXICO,2022,2,6,Mar-22,74
CBP,Criminal Conviction,Dallas,MEXICO,2022,3,7,Apr-22,68
