office_name,office_name_short,agency,field_office_name,sub_office,address,city,state,zip,zip_4,address_full,area,office_latitude,office_longitude
"Office of the Principal Legal Advisor, Los Angeles (Adelanto)",Adelanto - OPLA,OPLA,,FALSE,10250 Rancho Road,Adelanto,CA,92301,92301,"10250 Rancho Road, Adelanto, CA 92301",,34.5592376,-117.4415063
"Office of the Principal Legal Advisor, Washington, D.C. (Annandale)",Annandale - OPLA,OPLA,,FALSE,7619 Little River Turnpike Suite 900,Annandale,VA,22003,22003,"7619 Little River Turnpike Suite 900, Annandale, VA 22003",District of Columbia and Virginia (Annandale Immigration Court),38.8317646,-77.2099851
"Office of the Principal Legal Advisor, Atlanta",Atlanta - OPLA,OPLA,,FALSE,"180 Ted Turner Drive, SW, Suite 332",Atlanta,GA,30303,30303,"180 Ted Turner Drive, SW, Suite 332, Atlanta, GA 30303","Georgia, North Carolina, and South Carolina",33.7495264,-84.3973924
Atlanta Field Office,Atlanta - ERO,ERO,,FALSE,180 Ted Turner Dr. SW Suite 522,Atlanta,GA,30303,30303,"180 Ted Turner Dr. SW Suite 522, Atlanta, GA 30303","Georgia, North Carolina, South Carolina",33.749609,-84.3973461
"Office of the Principal Legal Advisor, Atlanta",Atlanta - OPLA,OPLA,,FALSE,"401 W. Peachtree Street, NW, Suite 2850",Atlanta,GA,30308,30308,"401 W. Peachtree Street, NW, Suite 2850, Atlanta, GA 30308",,33.7653676,-84.387193
HSI Atlanta,Atlanta - HSI,HSI,,FALSE,1100 Centre Parkway,Atlanta,GA,30344,30344,"1100 Centre Parkway, Atlanta, GA 30344","Alabama, Georgia",33.6533818,-84.5124864
Atlanta – Community Relations Officer,Atlanta - OPE,OPE,,FALSE,,Atlanta,GA,,,,"Georgia, South Carolina, North Carolina",,
"Office of the Principal Legal Advisor, Baltimore",Baltimore - OPLA,OPLA,,FALSE,"31 Hopkins Plaza, Room 1600",Baltimore,MD,21201,21201,"31 Hopkins Plaza, Room 1600, Baltimore, MD 21201",Maryland,39.2880994,-76.6167868
Baltimore Field Office,Baltimore - ERO,ERO,,FALSE,31 Hopkins Plaza 6th Floor,Baltimore,MD,21201,21201,"31 Hopkins Plaza 6th Floor, Baltimore, MD 21201",Maryland,39.2879833,-76.616563
Baltimore - Community Relations Officer,Baltimore - OPE,OPE,,FALSE,"40 South Gay Street, 3rd Floor",Baltimore,MD,21202,21202,"40 South Gay Street, 3rd Floor, Baltimore, MD 21202",Maryland,39.2881981,-76.6092072
HSI Baltimore,Baltimore - HSI,HSI,,FALSE,40 South Gay Street 3rd Floor,Baltimore,MD,21202,21202,"40 South Gay Street 3rd Floor, Baltimore, MD 21202",Maryland,39.2881981,-76.6092072
"Office of the Principal Legal Advisor, Buffalo (Batavia)",Batavia - OPLA,OPLA,,FALSE,4250 Federal Drive,Batavia,NY,14020,14020,"4250 Federal Drive, Batavia, NY 14020",,43.0201451,-78.2023932
"Office of the Principal Legal Advisor, Boston",Boston - OPLA,OPLA,,FALSE,"15 New Sudbury Street, Room 425",Boston,MA,02203,02203,"15 New Sudbury Street, Room 425, Boston, MA 02203","Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, and Vermont",42.3609639,-71.0603133
HSI Boston,Boston - HSI,HSI,,FALSE,10 Causeway Street Room 722,Boston,MA,02222,02222,"10 Causeway Street Room 722, Boston, MA 02222","Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",42.3651716,-71.0633103
"Office of the Principal Legal Advisor, Detroit (Cleveland)",Brooklyn Heights - OPLA,OPLA,,FALSE,"925 Keynote Circle, Room 201",Brooklyn Heights,OH,44131,44131,"925 Keynote Circle, Room 201, Brooklyn Heights, OH 44131",,41.4117491,-81.6655486
HSI Buffalo,Buffalo - HSI,HSI,,FALSE,250 Delaware Ave Suite 814,Buffalo,NY,14202,14202,"250 Delaware Ave Suite 814, Buffalo, NY 14202",New York state(minus New York City surrounding areas),42.8911691,-78.8769453
"Office of the Principal Legal Advisor, Buffalo",Buffalo - OPLA,OPLA,,FALSE,"250 Delaware Avenue, Suite 773",Buffalo,NY,14202,14202,"250 Delaware Avenue, Suite 773, Buffalo, NY 14202",Northern and Western New York,42.8911691,-78.8769453
Buffalo - Community Relations Officer,Buffalo - OPE,OPE,,FALSE,"130 Delaware Avenue, Ste 300",Buffalo,NY,14202,14202,"130 Delaware Avenue, Ste 300, Buffalo, NY 14202","Western, Central & Northern New York State",42.8880416,-78.8778238
Buffalo Field Office,Buffalo - ERO,ERO,,FALSE,"250 Delaware Avenue, Floor 7",Buffalo,NY,14202,14202,"250 Delaware Avenue, Floor 7, Buffalo, NY 14202",Upstate New York,42.8911691,-78.8769453
