office_name,office_name_short,area
Atlanta Field Office,Atlanta - ERO,"['Georgia', 'North Carolina', 'South Carolina']"
Baltimore Field Office,Baltimore - ERO,['Maryland']
Buffalo Field Office,Buffalo - ERO,['Upstate New York']
Boston Field Office,Burlington - ERO,"['Connecticut', 'Maine', 'Massachusetts', 'New Hampshire', 'Rhode Island', 'Vermont']"
Denver Field Office,Centennial - ERO,"['Colorado', 'Wyoming']"
Washington Field Office,Chantilly - ERO,['District of Columbia and Virginia']
Chicago Field Office,Chicago - ERO,"['Illinois', 'Indiana', 'Wisconsin', 'Missouri', 'Kentucky', 'Kansas']"
Dallas Field Office,Dallas - ERO,"['North Texas', 'Oklahoma']"
Detroit Field Office,Detroit - ERO,"['Michigan', 'Ohio']"
El Paso Field Office,El Paso - ERO,"['West Texas', 'New Mexico']"
St. Paul Field Office,Fort Snelling - ERO,"['Iowa', 'Minnesota', 'Nebraska', 'North Dakota', 'South Dakota']"
Harlingen Field Office,Harlingen - ERO,['South Texas']
Houston Field Office,Houston - ERO,['Southeast Texas']
Los Angeles Field Office,Los Angeles - ERO,"['Los Angeles Metropolitan Area (Counties of Los Angeles', 'Orange', 'Riverside', 'San Bernardino)', 'and Central Coast (Counties of Ventura', 'Santa Barbara and San Luis Obispo)']"
New York City Field Office,New York - ERO,"['The five boroughs (counties of NYC) and the following counties: Duchess', 'Nassau', 'Putnam', 'Suffolk', 'Sullivan', 'Orange', 'Rockland', 'Ulster', 'and Westchester']"
Newark Field Office,Newark - ERO,['New Jersey']
Philadelphia Field Office,Philadelphia - ERO,"['Delaware', 'Pennsylvania', 'West Virginia']"
Phoenix Field Office,Phoenix - ERO,['Arizona']
San Antonio Field Office,San Antonio - ERO,['Central Texas']
San Diego Field Office,San Diego - ERO,['San Diego and Imperial County']
San Francisco Field Office,San Francisco - ERO,"['Northern California', 'Hawaii', 'Guam', 'Saipan']"
Seattle Field Office,Seattle - ERO,"['Alaska', 'Oregon', 'Washington']"
New Orleans Field Office,St. Rose - ERO,"['Alabama', 'Arkansas', 'Louisiana', 'Mississippi', 'Tennessee']"
Salt Lake City Field Office,West Valley City - ERO,"['Utah', 'Idaho', 'Montana', 'Nevada']"
