Arresting Agency,Criminality,Area of Responsibility (AOR),Country of Citizenship,Fiscal Year,Fiscal Quarter,Fiscal Month,Month-Year,Removals
CBP,Criminal Conviction,Atlanta,EL SALVADOR,2024,2,4,Jan 2024,10
CBP,Criminal Conviction,Atlanta,GUATEMALA,2021,1,1,Oct 2020,25
CBP,Criminal Conviction,Atlanta,GUATEMALA,2021,1,2,Nov 2020,18
CBP,Criminal Conviction,Atlanta,GUATEMALA,2023,1,2,Nov 2022,13
CBP,Criminal Conviction,Atlanta,GUATEMALA,2023,2,4,Jan 2023,10
CBP,Criminal Conviction,Atlanta,GUATEMALA,2023,2,5,Feb 2023,12
CBP,Criminal Conviction,Atlanta,GUATEMALA,2023,4,11,Aug 2023,12
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,1,1,Oct 2023,10
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,1,2,Nov 2023,11
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,2,4,Jan 2024,10
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,2,5,Feb 2024,11
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,3,7,Apr 2024,16
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,3,8,May 2024,30
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,3,9,Jun 2024,17
CBP,Criminal Conviction,Atlanta,GUATEMALA,2024,4,10,Jul 2024,18
CBP,Criminal Conviction,Atlanta,HONDURAS,2021,1,1,Oct 2020,17
CBP,Criminal Conviction,Atlanta,HONDURAS,2021,2,4,Jan 2021,20
CBP,Criminal Conviction,Atlanta,HONDURAS,2021,3,8,May 2021,10
CBP,Criminal Conviction,Atlanta,HONDURAS,2022,3,9,Jun 2022,13
CBP,Criminal Conviction,Atlanta,HONDURAS,2022,4,11,Aug 2022,14
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,1,1,Oct 2022,17
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,1,2,Nov 2022,17
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,1,3,Dec 2022,13
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,2,4,Jan 2023,16
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,2,6,Mar 2023,14
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,3,8,May 2023,20
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,3,9,Jun 2023,17
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,4,11,Aug 2023,22
CBP,Criminal Conviction,Atlanta,HONDURAS,2023,4,12,Sep 2023,13
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,1,1,Oct 2023,17
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,1,2,Nov 2023,18
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,1,3,Dec 2023,18
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,2,4,Jan 2024,16
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,2,5,Feb 2024,18
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,2,6,Mar 2024,10
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,3,8,May 2024,23
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,3,9,Jun 2024,20
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,4,10,Jul 2024,11
CBP,Criminal Conviction,Atlanta,HONDURAS,2024,4,11,Aug 2024,16
CBP,Criminal Conviction,Atlanta,MEXICO,2021,1,1,Oct 2020,27
CBP,Criminal Conviction,Atlanta,MEXICO,2021,1,2,Nov 2020,13
CBP,Criminal Conviction,Atlanta,MEXICO,2021,1,3,Dec 2020,13
CBP,Criminal Conviction,Atlanta,MEXICO,2021,2,4,Jan 2021,10
CBP,Criminal Conviction,Atlanta,MEXICO,2021,3,7,Apr 2021,13
CBP,Criminal Conviction,Atlanta,MEXICO,2021,3,9,Jun 2021,11
CBP,Criminal Conviction,Atlanta,MEXICO,2021,4,10,Jul 2021,10
CBP,Criminal Conviction,Atlanta,MEXICO,2021,4,11,Aug 2021,11
CBP,Criminal Conviction,Atlanta,MEXICO,2021,4,12,Sep 2021,10
CBP,Criminal Conviction,Atlanta,MEXICO,2022,1,2,Nov 2021,11
CBP,Criminal Conviction,Atlanta,MEXICO,2022,2,5,Feb 2022,17
CBP,Criminal Conviction,Atlanta,MEXICO,2022,2,6,Mar 2022,13
