year,alpha-3_x,deportee_freq,traffick_freq
2010,MMR,1,3.0
2010,COL,18,1.0
2010,KAZ,2,7.0
2010,ROU,3,1.0
2010,UKR,2,162.0
2010,UZB,1,6.0
2010,VNM,2,1.0
2011,BLR,8,12.0
2011,BOL,69,1.0
2011,COL,623,1.0
2011,DOM,950,1.0
2011,ERI,7,1.0
2011,IDN,133,1.0
2011,KAZ,20,1.0
2011,KGZ,9,4.0
2011,PHL,230,4.0
2011,ROU,97,5.0
2011,SOM,11,1.0
2011,TJK,11,3.0
2011,UKR,56,109.0
2011,UZB,21,6.0
2012,BLR,29,8.0
2012,BOL,180,3.0
2012,KHM,61,6.0
2012,MDA,62,15.0
2012,NPL,60,1.0
2012,NGA,265,1.0
2012,LKA,101,12.0
2012,THA,70,5.0
2012,UKR,184,4.0
2013,AFG,17,38.0
2013,BLR,18,1.0
2013,BOL,107,2.0
2013,MMR,6,10.0
2013,KHM,22,5.0
2013,COL,1274,2.0
2013,GIN,6,1.0
2013,IDN,73,1.0
2013,KAZ,27,5.0
2013,MDA,30,68.0
2013,PHL,380,2.0
2013,ROU,180,4.0
2013,RUS,117,1.0
2013,LKA,45,8.0
2013,TKM,4,3.0
2013,UGA,20,3.0
2013,UKR,114,78.0
2013,UZB,36,1.0
2013,VNM,56,3.0
2014,AFG,22,83.0
2014,BGD,71,2.0
2014,BLR,15,7.0
2014,BGR,34,1.0
2014,MMR,3,22.0
2014,ERI,4,5.0
2014,ETH,25,3.0
2014,IND,337,1.0
2014,IDN,67,76.0
2014,KAZ,20,6.0
2014,KGZ,14,18.0
2014,MDG,1,1.0
2014,MDA,25,19.0
2014,PHL,258,1.0
2014,ROU,139,5.0
2014,LKA,30,3.0
2014,THA,40,2.0
2014,TKM,2,1.0
2014,UGA,17,2.0
2014,UKR,75,57.0
2014,UZB,32,7.0
2015,BLR,6,56.0
2015,BGR,25,3.0
2015,MMR,6,17.0
2015,BDI,2,1.0
2015,KHM,34,2.0
2015,CHN,389,1.0
2015,ERI,5,1.0
2015,GHA,50,1.0
2015,IND,301,2.0
2015,IDN,31,38.0
2015,KAZ,8,8.0
2015,KGZ,10,6.0
2015,LAO,2,1.0
2015,MDA,18,5.0
2015,NPL,26,2.0
2015,PHL,206,3.0
2015,ROU,124,9.0
2015,SOM,185,1.0
2015,LKA,34,3.0
2015,UKR,87,121.0
2015,UZB,22,31.0
2015,VNM,35,13.0
2016,BGD,208,1.0
2016,BLR,6,116.0
2016,BGR,21,5.0
2016,KHM,42,28.0
2016,CMR,37,1.0
2016,DOM,1831,3.0
2016,ETH,34,1.0
2016,GTM,36496,2.0
2016,GIN,17,1.0
2016,IND,376,3.0
2016,IDN,34,25.0
2016,KAZ,20,3.0
2016,KEN,75,1.0
2016,KOR,37,1.0
2016,KGZ,15,27.0
2016,MDA,18,4.0
2016,PHL,175,32.0
2016,ROU,198,14.0
2016,KOR,87,1.0
2016,SDN,2,2.0
2016,THA,27,5.0
2016,UKR,64,62.0
2016,UZB,17,7.0
2016,VNM,33,17.0
2017,AFG,43,1.0
2017,BGD,168,3.0
2017,BLR,13,18.0
2017,BGR,24,4.0
2017,MMR,14,1.0
2017,KHM,38,27.0
2017,DOM,1932,3.0
2017,ERI,48,2.0
2017,GTM,34337,1.0
2017,KAZ,19,2.0
2017,KEN,114,29.0
2017,KGZ,6,16.0
2017,LAO,8,2.0
2017,MDA,43,13.0
2017,NPL,62,1.0
2017,NGA,325,6.0
2017,THA,40,4.0
2017,UGA,13,3.0
2017,UKR,90,30.0
2017,UZB,26,34.0
2017,VNM,116,6.0
2018,AFG,33,2.0
2018,MMR,42,14.0
2018,KHM,138,62.0
2018,SLV,16155,1.0
2018,ERI,59,3.0
2018,IND,853,1.0
2018,IDN,101,19.0
2018,KEN,141,5.0
2018,KGZ,16,2.0
2018,NGA,371,18.0
2018,PHL,211,5.0
2018,ROU,432,3.0
2018,RUS,147,1.0
2018,UGA,17,19.0
2018,UZB,44,2.0
2018,VNM,88,3.0
2019,BDI,4,1.0
2019,KHM,48,19.0
2019,ERI,65,1.0
2019,IDN,68,12.0
2019,KAZ,24,9.0
2019,KEN,129,7.0
2019,KOR,44,1.0
2019,KGZ,17,11.0
2019,NGA,290,10.0
2019,KOR,123,1.0
2019,LKA,156,1.0
2019,SDN,22,1.0
2019,THA,39,1.0
2019,UGA,24,1.0
2019,UKR,128,8.0
2019,VEN,327,1.0
2019,VNM,88,1.0
2020,AFG,26,1.0
2020,KHM,26,5.0
2020,COL,842,2.0
2020,ERI,9,3.0
2020,HUN,42,3.0
2020,IND,1530,1.0
2020,IDN,53,8.0
2020,NGA,148,8.0
2020,RUS,105,1.0
2020,UGA,19,2.0
2020,UKR,82,4.0
2020,UZB,36,1.0
2021,BGD,19,2.0
2021,BLR,2,2.0
2021,BDI,5,1.0
2021,DOM,1276,2.0
2021,ERI,8,3.0
2021,ETH,21,1.0
2021,GIN,13,2.0
2021,IND,145,1.0
2021,CIV,5,7.0
2021,KAZ,9,1.0
2021,KEN,25,2.0
2021,NPL,24,2.0
2021,NGA,46,29.0
2021,ROU,175,1.0
2021,SOM,45,6.0
2021,THA,21,2.0
2021,UKR,31,52.0
2021,UZB,12,5.0
2022,BRA,1475,1.0
2022,CHN,109,1.0
2022,COL,4861,1.0
2022,ERI,22,5.0
2022,ETH,5,6.0
2022,GHA,55,4.0
2022,IDN,6,1.0
2022,CIV,10,4.0
2022,MDA,7,1.0
2022,NGA,54,75.0
2022,PHL,79,3.0
2022,SLE,10,7.0
2022,TJK,4,1.0
2022,UKR,19,13.0
2023,BGD,4,27.0
2023,COL,306,6.0
2023,IND,29,1.0
2023,IDN,3,23.0
2023,KEN,3,5.0
2023,NGA,6,118.0
2023,PHL,5,1.0
2023,ROU,12,1.0
2023,SLE,1,9.0
2023,THA,3,2.0
2023,UKR,1,4.0
2023,UZB,4,1.0
