State,Signals received,% of total signals,Cases identified,% of total cases,Year
Alabama,231,0.71%,105,0.88%,2024
Alaska,46,0.14%,22,0.18%,2024
Arizona,550,1.70%,300,2.50%,2024
Arkansas,170,0.53%,80,0.67%,2024
California,3378,10.46%,1733,14.44%,2024
Colorado,465,1.44%,185,1.54%,2024
Connecticut,167,0.52%,96,0.80%,2024
Delaware,51,0.16%,32,0.27%,2024
District of Columbia,135,0.42%,55,0.46%,2024
Florida,1830,5.66%,832,6.93%,2024
Georgia,876,2.71%,342,2.85%,2024
Guam,0,0.00%,0,0.00%,2024
Hawaii,161,0.50%,55,0.46%,2024
Idaho,72,0.22%,32,0.27%,2024
Illinois,792,2.45%,385,3.21%,2024
Indiana,293,0.91%,154,1.28%,2024
Iowa,166,0.51%,88,0.73%,2024
Kansas,198,0.61%,126,1.05%,2024
Kentucky,278,0.86%,139,1.16%,2024
Louisiana,266,0.82%,133,1.11%,2024
Maine,88,0.27%,41,0.34%,2024
Maryland,358,1.11%,179,1.49%,2024
Massachusetts,288,0.89%,115,0.96%,2024
Michigan,764,2.36%,340,2.83%,2024
Minnesota,229,0.71%,83,0.69%,2024
Mississippi,303,0.94%,195,1.63%,2024
Missouri,696,2.15%,272,2.27%,2024
Montana,84,0.26%,43,0.36%,2024
Nebraska,148,0.46%,71,0.59%,2024
Nevada,418,1.29%,236,1.97%,2024
New Hampshire,45,0.14%,22,0.18%,2024
New Jersey,884,2.74%,269,2.24%,2024
New Mexico,143,0.44%,78,0.65%,2024
New York,1191,3.69%,570,4.75%,2024
North Carolina,638,1.97%,301,2.51%,2024
North Dakota,44,0.14%,21,0.18%,2024
Northern Marianas Islands,0,0.00%,0,0.00%,2024
Ohio,671,2.08%,334,2.78%,2024
Oklahoma,255,0.79%,125,1.04%,2024
Oregon,368,1.14%,160,1.33%,2024
Pennsylvania,641,1.98%,287,2.39%,2024
Puerto Rico,8,0.02%,10,0.08%,2024
Rhode Island,30,0.09%,19,0.16%,2024
South Carolina,267,0.83%,136,1.13%,2024
South Dakota,75,0.23%,34,0.28%,2024
Tennessee,428,1.32%,213,1.78%,2024
Texas,2418,7.48%,1360,11.33%,2024
U.S. Virgin Islands,0,0.00%,0,0.00%,2024
Utah,196,0.61%,99,0.83%,2024
Vermont,26,0.08%,15,0.13%,2024
Virginia,661,2.05%,228,1.90%,2024
Washington,659,2.04%,271,2.26%,2024
West Virginia,66,0.20%,38,0.32%,2024
Wisconsin,277,0.86%,111,0.93%,2024
Wyoming,29,0.09%,17,0.14%,2024
Alabama,189,0.65%,58,0.60%,2023
Alaska,48,0.16%,8,0.08%,2023
Arizona,473,1.62%,181,1.88%,2023
Arkansas,157,0.54%,75,0.78%,2023
California,3042,10.39%,1134,11.81%,2023
Colorado,435,1.49%,164,1.71%,2023
Connecticut,122,0.42%,42,0.44%,2023
Delaware,77,0.26%,31,0.32%,2023
District of Columbia,172,0.59%,48,0.50%,2023
Florida,1875,6.41%,676,7.04%,2023
Georgia,602,2.06%,267,2.78%,2023
Guam,0,0.00%,0,0.00%,2023
Hawaii,103,0.35%,29,0.30%,2023
Idaho,91,0.31%,27,0.28%,2023
Illinois,696,2.38%,269,2.80%,2023
Indiana,275,0.94%,109,1.13%,2023
Iowa,188,0.64%,72,0.75%,2023
Kansas,199,0.68%,59,0.61%,2023
Kentucky,306,1.05%,77,0.80%,2023
Louisiana,229,0.78%,97,1.01%,2023
Maine,72,0.25%,36,0.37%,2023
Maryland,472,1.61%,152,1.58%,2023
Massachusetts,267,0.91%,84,0.87%,2023
Michigan,764,2.61%,254,2.64%,2023
Minnesota,203,0.69%,73,0.76%,2023
Mississippi,271,0.93%,122,1.27%,2023
Missouri,686,2.34%,247,2.57%,2023
Montana,97,0.33%,29,0.30%,2023
Nebraska,111,0.38%,23,0.24%,2023
Nevada,490,1.67%,188,1.96%,2023
New Hampshire,75,0.26%,29,0.30%,2023
New Jersey,471,1.61%,172,1.79%,2023
New Mexico,198,0.68%,40,0.42%,2023
New York,1196,4.09%,413,4.30%,2023
North Carolina,659,2.25%,235,2.45%,2023
North Dakota,56,0.19%,14,0.15%,2023
